name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Punjab,2022-09-01,35.1,27.2,30.9,46.5,32.1,39.2,26.7,79.9,0.2,100,4.17,rain,0,0,19.8,11.2,287.7,1004.1,30.3,20.3,250,21.7,8,30,2022-09-01T06:02:37,2022-09-01T18:50:22,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"42077099999,42099099999,remote"
Punjab,2022-09-02,34.2,27.2,30.3,44.3,31.7,38,26.4,80.8,0.2,100,4.17,rain,0,0,22.3,7.9,145.5,1005.6,40.7,20.8,236,20.4,8,30,2022-09-02T06:03:11,2022-09-02T18:49:09,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42077099999,42099099999,remote"
Punjab,2022-09-03,33.4,26.5,29.6,43.6,26.5,36.1,26.1,82.2,0.2,100,4.17,rain,0,0,28.1,9.4,39.3,1003.1,19.4,20.8,240.2,20.7,8,60,2022-09-03T06:03:46,2022-09-03T18:47:56,0.25,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"42077099999,42099099999,remote"
Punjab,2022-09-04,34.4,25.5,29.8,44.1,25.5,35.3,25.7,80.1,0.1,100,4.17,rain,0,0,20.2,8.3,131.3,1001.5,11.9,20.8,232.3,20.2,8,30,2022-09-04T06:04:20,2022-09-04T18:46:42,0.28,Rain,Clear conditions throughout the day with afternoon rain.,rain,"42099099999,remote"
Punjab,2022-09-05,33.7,26,29.4,41.7,26,34.3,25,78.5,0.1,100,4.17,rain,0,0,19.4,9,157.4,1003.8,18.6,20.8,237.8,20.4,8,60,2022-09-05T06:04:55,2022-09-05T18:45:28,0.32,Rain,Clear conditions throughout the day with afternoon rain.,rain,"42077099999,42099099999,remote"
Punjab,2022-09-06,32.9,24.8,28.8,43.3,24.8,33.4,25.3,82.2,1.5,100,29.17,rain,0,0,23.8,10.4,310,1005.6,29.1,20.7,227.2,19.6,8,30,2022-09-06T06:05:29,2022-09-06T18:44:13,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"42077099999,42099099999,remote"
Punjab,2022-09-07,33.9,25.8,29.6,42.4,25.8,35.1,25.6,79.9,0,0,0,,0,0,18,7.6,304.2,1007,15,20.7,232.5,20,7,30,2022-09-07T06:06:03,2022-09-07T18:42:58,0.39,Clear,Clear conditions throughout the day.,clear-day,"42077099999,42099099999,remote"
Punjab,2022-09-08,35.1,26.1,30.3,44,26.1,36.3,25.6,77.7,0,0,0,,0,0,15.1,6.5,275.9,1007.9,14.1,20.7,240.8,20.7,8,30,2022-09-08T06:06:38,2022-09-08T18:41:43,0.42,Clear,Clear conditions throughout the day.,clear-day,"42077099999,42099099999,remote"
Punjab,2022-09-09,34.9,26,30.6,43.3,26,37.2,26,78.2,0.2,100,8.33,rain,0,0,21.6,8.6,123,1007.3,12.5,20.6,226.4,19.6,8,30,2022-09-09T06:07:12,2022-09-09T18:40:27,0.46,Rain,Clear conditions throughout the day with rain in the morning and afternoon.,rain,"42077099999,42099099999,remote"
Punjab,2022-09-10,33.4,26.8,29.7,44,30.7,36.8,26.4,83.1,0.8,100,25,rain,0,0,22.7,12.6,109.6,1006.2,21.8,20.6,207.5,17.7,7,60,2022-09-10T06:07:46,2022-09-10T18:39:11,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42077099999,42099099999,remote"
Punjab,2022-09-11,33.9,24.2,28.4,43.1,24.2,32.4,25.1,83.2,1,100,20.83,rain,0,0,22.3,11.5,100.6,1004.8,27.1,20.3,210,18,7,60,2022-09-11T06:08:20,2022-09-11T18:37:55,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"42077099999,42099099999,remote"
Punjab,2022-09-12,33.9,24.4,28.9,43.8,24.4,33.7,25.2,81.7,0.2,100,4.17,rain,0,0,15.1,9.4,70.5,1003.4,16.4,20.8,220.7,19,8,30,2022-09-12T06:08:54,2022-09-12T18:36:39,0.56,Rain,Clear conditions throughout the day with afternoon rain.,rain,"42077099999,42099099999,42075099999,remote"
Punjab,2022-09-13,33.4,25.7,29.4,41.7,25.7,34.7,25.7,81.4,0.2,100,8.33,rain,0,0,25.6,10.4,233.4,1003.8,24.4,20.7,227.4,19.6,7,30,2022-09-13T06:09:29,2022-09-13T18:35:22,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42077099999,42099099999,remote"
Punjab,2022-09-14,32.4,26.3,29,40.2,26.3,34.6,25.9,84.4,1.1,100,33.33,rain,0,0,16.6,4.7,161.9,1004.4,36.2,21.3,195.1,17,6,60,2022-09-14T06:10:03,2022-09-14T18:34:06,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42077099999,42099099999,remote"
Punjab,2022-09-15,33.1,25.6,28.6,41.5,25.6,33.2,25.4,83.8,0.8,100,25,rain,0,0,24.5,10.4,181,1002.7,28.4,20.7,207.8,18,7,30,2022-09-15T06:10:37,2022-09-15T18:32:49,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"42077099999,42099099999,remote"
Punjab,2022-09-16,32.4,23.4,27.6,40.2,23.4,30.8,24.9,86.1,0.8,100,29.17,rain,0,0,29.2,11.5,131.5,1000.3,44.8,20.6,203.4,17.6,7,30,2022-09-16T06:11:11,2022-09-16T18:31:32,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"42077099999,42099099999,remote"
Punjab,2022-09-17,33.2,25,28.9,41.8,25,33.5,25.3,82.2,0.6,100,16.67,rain,0,0,22,6.8,312.8,1001.3,17.6,20.7,220.6,19,7,60,2022-09-17T06:11:45,2022-09-17T18:30:15,0.72,Rain,Clear conditions throughout the day with rain in the morning and afternoon.,rain,"42077099999,42099099999,remote"
Punjab,2022-09-18,33.9,25.5,29.4,43.2,25.5,34.2,25.1,79,0.2,100,4.17,rain,0,0,26.6,9.4,300.9,1004.7,9.7,20.7,232.9,20.2,8,30,2022-09-18T06:12:20,2022-09-18T18:28:58,0.75,Rain,Clear conditions throughout the day with afternoon rain.,rain,"42077099999,42099099999,remote"
Punjab,2022-09-19,34,24.8,29.5,41.1,24.8,34.5,25,78,0.1,100,4.17,rain,0,0,17.6,9.4,354.6,1005.2,24.6,20.7,213.6,18.5,7,30,2022-09-19T06:12:54,2022-09-19T18:27:40,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42077099999,42099099999,remote"
Punjab,2022-09-20,33.1,25.3,28.7,42.3,25.3,33.9,25.3,82.6,1,100,16.67,rain,0,0,16.6,14.5,143.5,1005.3,47.7,20.7,196.9,17.1,7,30,2022-09-20T06:13:29,2022-09-20T18:26:23,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"42077099999,42099099999,remote"
Punjab,2022-09-21,31.8,25.2,27.6,40.2,25.2,31,25.4,88.5,11.2,100,33.33,rain,0,0,20.5,8.3,111.8,1005.5,59.8,20.5,177.5,15.3,7,30,2022-09-21T06:14:03,2022-09-21T18:25:06,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42077099999,42099099999,remote"
Punjab,2022-09-22,31.1,24.1,26.8,38.5,24.1,29.1,24.8,89.4,9.2,100,25,rain,0,0,25.2,9.4,67.7,1005.5,54.3,20.3,168.4,14.6,7,10,2022-09-22T06:14:38,2022-09-22T18:23:49,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42077099999,42099099999,remote"
Punjab,2022-09-23,28.8,24.4,26.2,33.9,24.4,27.1,24.4,90.1,3.5,100,33.33,rain,0,0,28.4,11.2,8.8,1005,71.7,19.6,110.2,9.5,6,10,2022-09-23T06:15:13,2022-09-23T18:22:32,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42077099999,42099099999,remote"
Punjab,2022-09-24,25.4,22.9,24.4,25.4,22.9,24.4,23.8,96.4,47.5,100,83.33,rain,0,0,43.6,17.6,41.3,1003.9,97.1,14.4,25.3,2.3,1,10,2022-09-24T06:15:48,2022-09-24T18:21:15,0.95,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"42077099999,42099099999,remote"
Punjab,2022-09-25,27.3,22.4,24.5,31,22.4,24.8,23.3,93.4,77.5,100,75,rain,0,0,46.4,16.2,109,1003.7,77.4,13.5,94.9,8.4,5,10,2022-09-25T06:16:23,2022-09-25T18:19:58,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"42077099999,42099099999,remote"
Punjab,2022-09-26,30.9,22.6,25.8,35.3,22.6,27.4,23.3,86.7,0,0,0,,0,0,18,8.3,319.5,1008.8,45.4,20.6,183.3,15.8,7,30,2022-09-26T06:16:58,2022-09-26T18:18:42,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42077099999,42099099999,remote"
Punjab,2022-09-27,31.9,22.4,27,37.3,22.4,29.2,23.5,82.4,0,0,0,,0,0,18.4,7.6,302,1007.1,31.2,20.7,218.6,18.8,8,10,2022-09-27T06:17:33,2022-09-27T18:17:25,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42077099999,42099099999,remote"
Punjab,2022-09-28,32.3,23.2,27.5,38.1,23.2,30.1,24.1,82.8,0.1,100,4.17,rain,0,0,18.7,9.7,321.4,1005.9,24,20.6,215.6,18.6,7,30,2022-09-28T06:18:09,2022-09-28T18:16:09,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"42077099999,42099099999,remote"
Punjab,2022-09-29,33,24.6,28.2,39.9,24.6,31.4,24.6,82.1,0.2,100,4.17,rain,0,0,24.5,10.4,327.6,1005.6,28.6,20.6,221.8,19.2,8,30,2022-09-29T06:18:45,2022-09-29T18:14:53,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42077099999,42099099999,remote"
